,unique_id,date_close,date_open,oplata
1504,010505747,,,250
1505,010506900,,,250
1506,010506037,,,350
1507,010504460,,,350
1508,010506904,,,350
1509,010502506,,,350
1510,010503749,,,350
1511,010503793,,,350
1512,010501279,,,350
1513,010501356,,,350
1514,050110049,22-09-22,26-09-22,
1515,050104574,10-09-22,14-09-22,
1516,050110258,18-09-22,19-09-22,
1517,050105145,20-08-22,22-08-22,
1518,050111667,,,
1519,050105732,,,
1520,050105946,,,
1521,050103663,02-08-22,03-08-22,
1522,050105146,24-09-22,26-09-22,
1523,050105147,07-09-22,12-09-22,
1524,050110052,17-09-22,19-09-22,
1525,050103698,,,
1526,050105731,11-09-22,12-09-22,
1527,050112488,24-09-22,26-09-22,
1528,050109811,24-09-22,26-09-22,
1529,050114064,,,
1530,050113052,23-09-22,26-09-22,
1531,050112916,18-09-22,19-09-22,
1532,050105266,,,
1533,050113587,24-09-22,26-09-22,
1534,050113045,,,
1535,050111464,05-09-22,08-09-22,
1536,050103868,18-09-22,19-09-22,
1537,050111583,,,
1538,050106448,,,
1539,050106449,14-09-22,17-09-22,
1540,050113521,,,
1541,050113895,,,
1542,050114066,,,
1543,050105473,,,
1544,050114918,,,
1545,050113894,,,
1546,050110798,10-09-22,12-09-22,
1547,050113781,,,
1548,050114065,,,
1549,050105225,,,
1550,050114095,,,
1551,050109808,16-09-22,19-09-22,
1552,050105728,08-09-22,09-09-22,
